No.,Time
3099,74.443394
3103,74.503077
3104,74.503086
3107,74.548232
3108,74.567166
3109,74.567179
3112,74.630133
3113,74.630145
3116,74.703176
3117,74.703189
3121,74.750723
3122,74.768848
3123,74.768863
3126,74.829977
3127,74.82999
3130,74.903182
3131,74.903199
3134,74.950093
3136,74.968276
3137,74.968289
3139,75.006868
3142,75.033148
3143,75.033161
3146,75.09738
3147,75.097393
3151,75.163127
3152,75.16314
3153,75.167668
3155,75.227079
3156,75.227092
3160,75.29755
3161,75.299004
3164,75.357603
3165,75.357616
3167,75.388432
3169,75.428307
3170,75.42832
3173,75.490234
3174,75.490249
3177,75.557196
3178,75.557209
3180,75.592051
3182,75.628563
3183,75.628575
3186,75.69035
3187,75.690363
3190,75.763
3191,75.763011
3194,75.813111
3196,75.828229
3197,75.828242
3198,75.88716
3200,75.958114
3202,76.017097
3203,76.033297
3204,76.087402
3205,76.149943
3210,76.217177
3211,76.257395
3214,76.289142
3217,76.347126
3220,76.413091
3224,76.4524
3226,76.48319
3228,76.54713
3229,76.61202
3231,76.65724
3232,76.683488
3233,76.753635
3234,76.809926
3235,76.809937
3238,76.870135
3239,76.883158
3240,76.88317
3242,76.943094
3243,77.013067
3246,77.072607
3247,77.072621
3249,77.093194
3250,77.143149
3251,77.143161
3252,77.206989
3253,77.207002
3255,77.272365
3256,77.272698
3257,77.303251
3258,77.337745
3259,77.348023
3260,77.403148
3261,77.40316
3264,77.478263
3265,77.497404
3267,77.544203
3268,77.603387
3271,77.667049
3272,77.667062
3274,77.713964
3275,77.732427
3276,77.782927
3278,77.808358
3279,77.808373
3283,77.867219
3284,77.867231
3287,77.903068
3289,77.931896
3290,77.931909
3292,78.003101
3293,78.004307
3294,78.06809
3295,78.068102
3297,78.123194
3298,78.130066
3299,78.13008
3301,78.202991
3302,78.203004
3303,78.263465
3304,78.263478
3306,78.328552
3307,78.328564
3308,78.35313
3310,78.408635
3311,78.408649
3312,78.463037
3313,78.463048
3316,78.538079
3317,78.538091
3318,78.538093
3319,78.591977
3320,78.659346
3322,78.723698
3323,78.753036
3325,78.790107
3328,78.857119
3332,78.923127
3333,78.937681
3336,78.990002
3339,79.05259
3344,79.123108
3348,79.159754
3351,79.193759
3355,79.252204
3361,79.31723
3362,79.317233
3366,79.367261
3367,79.383315
3368,79.383434
3372,79.450027
3373,79.450042
3379,79.523706
3380,79.523721
3384,79.572519
3385,79.583284
3386,79.583299
3389,79.64694
3390,79.646952
3392,79.715129
3393,79.715143
3395,79.783155
3396,79.783168
3397,79.802944
3398,79.847078
3399,79.847088
3401,79.917999
3402,79.918013
3406,79.977415
3407,79.988191
3408,80.007396
3410,80.043311
3411,80.043325
3415,80.110056
3416,80.110068
3422,80.177057
3423,80.177076
3427,80.216986
3428,80.243171
3429,80.243185
3430,80.307067
3431,80.307078
3433,80.377039
3436,80.44331
3437,80.446952
3441,80.507718
3443,80.572063
3448,80.647974
3450,80.668627
3453,80.708307
3454,80.708321
3458,80.770015
3459,80.770026
3462,80.832083
3464,80.843013
3465,80.843026
3466,80.868312
3468,80.903229
3469,80.903232
3471,80.968187
3472,80.9682
3476,81.038216
3477,81.038233
3478,81.0781
3480,81.103364
3481,81.103378
3487,81.167349
3493,81.232536
3494,81.23255
3497,81.277606
3499,81.297144
3500,81.297156
3503,81.367063
3504,81.367077
3505,81.43002
3506,81.430032
3509,81.496992
3510,81.497005
3511,81.503537
3513,81.56312
3514,81.563133
3521,81.707145
3522,81.707159
3523,81.711749
3524,81.7122
3526,81.757378
3527,81.757389
3528,81.763378
3529,81.763391
3532,81.833028
3535,81.871915
3537,81.890161
3539,81.908006
3540,81.968132
3542,82.038612
3545,82.102978
3546,82.148013
3547,82.168063
3549,82.228548
3550,82.228562
3552,82.289955
3553,82.289968
3557,82.331971
3558,82.352489
3559,82.428414
3560,82.428428
3562,82.493183
3565,82.547624
3566,82.557979
3567,82.617163
3569,82.688249
3571,82.757465
3572,82.778144
3573,82.822946
3575,82.883403
3577,82.953026
3578,82.978094
3579,83.02323
3580,83.088149
3584,83.153246
3586,83.177405
3588,83.218091
3591,83.287955
3593,83.353588
3595,83.387441
3596,83.417601
3603,83.483225
3606,83.544856
3611,83.603018
3612,83.607653
3616,83.672533
3620,83.748507
3621,83.74852
3625,83.813803
3626,83.813817
3627,83.813819
3629,83.873079
3631,83.883031
3635,83.943929
3636,83.943951
3639,84.008159
3640,84.008171
3641,84.008173
3643,84.070161
3645,84.143284
3653,84.209075
3656,84.237513
3658,84.275243
3661,84.343143
3667,84.408048
3668,84.43357
3672,84.473313
3673,84.473326
3675,84.533257
3676,84.533271
3680,84.608173
3681,84.608188
3682,84.643065
3683,84.668286
3685,84.729999
3687,84.797688
3690,84.863005
3691,84.86994
3695,84.929866
3697,85.003169
3699,85.068254
3700,85.069908
3701,85.133127
3702,85.198034
3705,85.257388
3706,85.267501
3710,85.327077
3716,85.390078
3720,85.457042
3721,85.457056
3723,85.4831
3724,85.483113
3727,85.523015
3728,85.523029
3731,85.597603
3732,85.597616
3736,85.658004
3737,85.658015
3739,85.692172
3741,85.723248
3742,85.723259
3744,85.787197
3745,85.78721
3749,85.858205
3750,85.858218
3752,85.888376
3753,85.923141
3754,85.923152
3756,85.98337
3757,85.983382
3759,86.050689
3760,86.050702
3763,86.097149
3764,86.117523
3765,86.117537
3767,86.183144
3768,86.183158
3770,86.24771
3774,86.317204
3775,86.317218
3779,86.383145
3783,86.453091
3788,86.512743
3789,86.512757
3793,86.583291
3796,86.647915
3799,86.712185
3801,86.737055
3803,86.777562
